
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       7.73
8                       7.50
16                      7.70
32                      7.64
64                     17.89
128                    11.24
256                    11.37
512                    12.11
1024                   13.48
2048                   15.84
4096                   21.46
8192                   34.32
16384                  97.38
32768                 112.16
65536                 137.53
131072                194.76
262144                694.22
524288                943.93
1048576              1635.21
2097152              3028.00
4194304              5515.79
8388608             11224.51
16777216            27551.44
33554432            58940.42
67108864           128249.42
134217728          244704.44
268435456          507290.01
536870912         1030407.69
