
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       8.14
8                       7.94
16                      7.65
32                      7.85
64                     29.78
128                    10.69
256                    10.79
512                    11.52
1024                   12.67
2048                   14.98
4096                   21.02
8192                   43.86
16384                  99.03
32768                 108.97
65536                 138.47
131072                194.56
262144                634.13
524288                933.26
1048576              1500.78
2097152              2342.62
4194304              6103.60
8388608             11916.86
16777216            30075.64
33554432            64911.54
67108864           127905.90
134217728          262618.31
268435456          493331.78
536870912         1012742.76
