
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   22.26
8000                   32.50
12000                  93.05
16000                  97.53
20000                  98.47
24000                 100.71
28000                 104.30
32000                 112.69
36000                 176.32
40000                 111.46
44000                 115.19
48000                 118.77
52000                 122.19
56000                 134.41
60000                 137.83
64000                 135.59
68000                 154.83
72000                 144.04
76000                 149.43
80000                 148.60
84000                 154.34
88000                 155.12
92000                 161.76
96000                 161.89
100000                165.64
104000                168.26
108000                174.09
112000                172.91
116000                175.41
120000                177.86
124000                193.59
128000                185.87
132000                188.33
136000                204.42
140000                202.04
144000                202.11
148000                208.20
152000                209.09
156000                213.83
160000                215.91
164000                216.32
168000                220.66
172000                225.27
176000                227.29
180000                231.22
184000                233.04
188000                235.87
192000                241.37
196000                369.51
200000                349.52
204000                349.26
208000                349.12
212000                384.60
216000                402.51
220000                383.53
224000                385.67
228000                422.93
232000                585.07
236000                527.87
240000                534.68
244000                411.14
248000                541.42
252000                427.16
256000                405.65
260000                439.36
264000                593.15
268000                421.19
272000                423.86
276000                529.74
280000                424.79
284000                512.17
288000                427.19
292000                436.43
296000                444.93
300000                461.09
304000                459.12
308000                468.80
312000                505.63
316000                478.65
320000                476.32
324000                473.44
328000                471.90
332000                486.02
336000                502.21
340000                491.44
344000                486.62
348000                491.75
352000                503.64
356000                508.37
360000                523.24
364000                547.04
368000                555.92
372000                543.15
376000                544.84
380000                934.26
384000                559.85
388000                581.04
392000                548.48
396000                557.64
400000                719.73
404000                659.04
408000                597.63
412000                593.46
416000                599.67
420000                598.47
424000                594.45
428000                589.36
432000                632.51
436000                621.53
440000                612.11
444000                806.42
448000                820.73
452000                837.42
456000                821.75
460000                835.42
464000                851.34
468000                856.23
472000                683.07
476000                655.83
480000                659.67
484000                670.29
488000                682.90
492000                727.33
496000                728.40
500000                711.57
504000                713.23
508000                734.61
512000                816.76
516000                690.09
520000                878.17
524000                741.92
528000                759.23
532000                765.44
536000                903.27
540000                729.96
544000                769.24
548000                899.44
552000                742.16
556000                768.54
560000               1095.14
564000               1091.34
568000               1084.74
572000               1152.65
576000                817.35
580000                784.03
584000                819.06
588000               1101.72
592000               1116.51
596000                842.92
600000                856.95
604000                861.17
608000               1068.68
612000               1039.22
616000                928.80
620000                947.07
624000                982.66
628000                945.38
632000                961.67
636000                974.63
640000                957.20
644000                967.59
648000               1018.95
652000               1196.57
656000               1023.76
660000               1023.85
664000               1020.51
668000               1021.54
672000               1041.15
676000               1042.34
680000               1050.94
684000               1037.25
688000               1066.60
692000               1058.99
696000               1085.47
700000               1121.10
704000               1195.04
708000               1140.14
712000               1121.83
716000               1143.05
720000               1407.36
724000               1136.70
728000               1135.34
732000               1145.63
736000               1142.13
740000               1142.53
744000               1155.86
748000               1197.20
752000               1278.81
756000               1164.24
760000               1187.28
764000               1427.91
768000               1205.84
772000               1235.21
776000               1207.47
780000               1214.17
784000               1276.18
788000               1557.88
792000               1291.39
796000               1272.52
800000               1269.78
804000               1264.17
808000               1263.23
812000               1282.65
816000               1303.66
820000               1310.98
824000               1328.51
828000               1320.20
832000               1476.81
836000               1342.36
840000               1341.74
844000               1364.95
848000               1517.86
852000               1397.29
856000               1402.09
860000               1392.53
864000               1617.14
868000               1390.65
872000               1394.18
876000               1431.38
880000               1411.69
884000               1443.91
888000               1516.22
892000               1442.59
896000               1442.22
900000               1439.11
904000               1484.83
908000               1479.28
912000               1537.43
916000               1468.85
920000               1489.02
924000               1516.34
928000               1502.80
932000               1505.36
936000               1519.61
940000               1454.03
944000               1368.70
948000               1435.20
952000               1448.19
956000               2329.56
960000               1352.39
964000               1429.26
968000               1481.31
972000               1433.44
976000               1791.06
980000               1409.53
984000               1498.91
988000               1545.84
992000               1449.90
996000               1773.27
1000000              1477.94
1004000              1563.57
1008000              1517.00
1012000              1583.42
1016000              1484.81
1020000              1620.93
1024000              1592.05
