
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                      88.80
8                      91.99
16                     97.39
32                     84.93
64                     92.86
128                    98.52
256                    99.30
512                   119.00
1024                  132.78
2048                  157.18
4096                  180.95
8192                  225.48
16384                 859.83
32768                 963.33
65536                1070.87
131072               1420.81
262144               1917.49
524288               2311.04
1048576              3118.90
2097152             13280.80
4194304             16253.21
8388608             24852.27
16777216            41906.86
33554432            77474.49
67108864           151221.84
134217728          296189.58
268435456          581280.71
536870912         1217159.64
