
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                      86.25
8                      82.11
16                     87.58
32                     80.85
64                     96.50
128                   101.06
256                   101.86
512                   111.44
1024                  136.73
2048                  152.94
4096                  183.13
8192                  222.50
16384                 848.90
32768                 895.74
65536                1031.37
131072               1193.55
262144               1862.26
524288               2416.02
1048576              3236.99
2097152             13120.39
4194304             15873.88
8388608             24580.37
16777216            43228.74
33554432            76617.13
67108864           155542.35
134217728          306437.29
268435456          597312.92
536870912         1244577.25
