
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       7.43
8                       7.12
16                      7.15
32                      7.17
64                      7.29
128                    10.00
256                    21.16
512                    10.94
1024                   12.61
2048                   14.65
4096                   20.17
8192                   28.57
16384                  90.27
32768                 127.53
65536                 143.12
131072                195.01
262144                414.17
524288                676.57
1048576              1092.26
2097152              2134.63
4194304              4649.16
8388608             11519.80
16777216            24779.38
33554432            57526.53
67108864           122581.79
134217728          247290.79
268435456          489285.37
536870912          970732.13
