# OSU MPI Latency Test v5.7
# Size          Latency (us)
4                      29.45
36                    234.80
68                    235.46
100                   235.08
132                   238.20
164                   234.27
196                   242.78
228                   236.58
260                   243.69
292                   239.01
324                   242.83
356                   242.90
388                   243.35
420                   244.49
452                   246.79
484                   244.18
516                   251.44
548                   244.48
580                   254.46
612                   244.74
644                   257.22
676                   246.34
708                   256.56
740                   252.97
772                   254.03
804                   256.67
836                   252.26
868                   262.64
900                   253.89
932                   263.34
964                   258.51
996                   259.46
1028                  263.72
1060                  261.31
1092                  264.90
1124                  263.50
1156                  265.22
1188                  266.67
1220                  265.79
1252                  267.39
1284                  270.15
1316                  265.59
1348                  272.39
1380                  267.32
1412                  271.96
1444                   70.38
1476                   70.66
1508                 1069.59
1540                  732.96
1572                  722.75
1604                  840.17
1636                  971.05
1668                  927.47
1700                  894.53
1732                  922.75
1764                  853.30
1796                  721.59
1828                  328.93
1860                  318.68
1892                  342.54
1924                  313.60
1956                  313.42
1988                  314.93
2020                  314.64
2052                  327.16
2084                  343.30
2116                  324.06
2148                  344.59
2180                  302.15
2212                  303.59
2244                  298.93
2276                  290.77
2308                  322.43
2340                  310.10
2372                  324.41
2404                  338.78
2436                  336.69
2468                  359.68
2500                  363.59
2532                  339.96
2564                  324.35
2596                  324.97
2628                  340.79
2660                  313.67
2692                  320.63
2724                  313.55
2756                  312.53
2788                  323.99
2820                  347.22
2852                  305.53
2884                   88.17
2916                   88.34
2948                  262.75
2980                  276.88
3012                  263.22
3044                  272.16
3076                  265.49
3108                  272.15
3140                  266.73
3172                  269.31
3204                  269.80
3236                  269.30
3268                  269.19
3300                  270.61
3332                  270.53
3364                  268.95
3396                  270.00
3428                  270.64
3460                  267.94
3492                  273.61
3524                  264.82
3556                  275.83
3588                  262.69
3620                  275.92
3652                  261.89
3684                  275.63
3716                  264.36
3748                  274.02
3780                  271.03
3812                  267.25
3844                  275.15
3876                  262.62
3908                  275.40
3940                  264.10
3972                  272.98
