# OSU MPI Latency Test v5.7
# Size          Latency (us)
0                       0.27
1                       0.32
1025                    0.62
2049                    0.75
3073                    0.93
4097                    3.14
5121                    3.25
6145                    3.34
7169                    3.43
8193                    3.69
9217                    3.76
10241                   3.88
11265                   3.96
12289                   4.16
13313                   4.26
14337                   4.36
15361                   4.43
16385                   4.59
17409                   4.72
18433                   4.73
19457                   4.79
20481                   5.00
21505                   5.02
22529                   5.09
23553                   5.15
24577                   5.32
25601                   5.39
26625                   5.45
27649                   5.50
28673                   5.69
29697                   5.77
30721                   5.83
31745                   5.89
32769                   6.05
33793                   6.15
34817                   6.19
35841                   6.27
36865                   6.43
37889                   6.53
38913                   6.66
39937                   6.66
40961                   6.81
41985                   6.91
43009                   6.95
44033                   7.01
45057                   7.25
46081                   7.30
47105                   7.38
48129                   7.44
49153                   7.63
