# OSU MPI Latency Test v5.7
# Size          Latency (us)
4000000             34200.20
9000000             76691.89
14000000           119180.72
19000000           161666.15
24000000           204147.36
29000000           246633.42
34000000           289127.80
39000000           331683.26
44000000           374184.61
49000000           416742.28
54000000           459192.14
59000000           501694.86
64000000           544168.98
69000000           586663.30
74000000           629279.05
79000000           671758.46
84000000           714243.21
89000000           756730.15
94000000           799216.75
99000000           841761.84
104000000          884247.97
109000000          926724.89
114000000          969221.62
119000000         1011691.13
124000000         1054198.22
129000000         1096688.74
134000000         1139160.74
139000000         1181640.58
144000000         1224130.90
149000000         1266639.89
154000000         1309097.03
159000000         1351616.81
164000000         1394101.85
169000000         1436631.20
174000000         1479113.01
179000000         1521586.84
184000000         1564084.00
189000000         1606565.50
194000000         1649038.39
199000000         1691546.19
204000000         1734044.57
209000000         1776501.64
214000000         1819005.02
219000000         1861461.24
224000000         1903965.26
229000000         1946450.63
234000000         1988932.97
239000000         2034292.07
244000000         2073964.36
249000000         2116383.43
254000000         2158903.17
259000000         2201506.45
264000000         2243874.77
269000000         2286364.75
274000000         2328863.53
279000000         2371320.53
284000000         2413796.54
289000000         2456297.43
294000000         2498775.36
299000000         2541425.74
