# OSU MPI Latency Test v5.7
# Size          Latency (us)
16672                 234.66
16704                 232.86
16736                 233.05
16768                 232.16
16800                 232.12
16832                 233.57
16864                 234.73
16896                 234.37
16928                 234.45
16960                 235.85
16992                 235.51
17024                 236.41
17056                 234.16
17088                 238.92
17120                 238.37
17152                 238.10
17184                 240.45
17216                 237.10
17248                 238.72
17280                 238.07
17312                 239.72
17344                 240.26
17376                 213.06
17408                 213.47
17440                 213.71
17472                 214.20
17504                 214.48
17536                 214.09
17568                 214.61
17600                 214.03
17632                 214.16
17664                 214.28
17696                 215.00
17728                 215.07
17760                 215.02
17792                 215.24
17824                 216.80
17856                 217.32
17888                 217.37
17920                 217.31
17952                 218.58
17984                 218.59
18016                 218.39
18048                 219.76
18080                 221.64
18112                 221.94
18144                 222.46
18176                 223.11
18208                 223.81
18240                 224.05
18272                 224.33
18304                 225.76
18336                 226.32
18368                 226.44
18400                 227.24
18432                 226.74
18464                 225.71
18496                 225.96
18528                 225.78
18560                 226.41
18592                 226.39
18624                 226.43
18656                 226.47
18688                 226.67
18720                 227.25
18752                 226.24
18784                 226.65
18816                 225.72
18848                 225.83
18880                 230.27
18912                 230.50
18944                 231.36
18976                 231.21
19008                 231.30
19040                 231.54
19072                 231.15
19104                 231.46
19136                 231.42
19168                 231.18
19200                 231.55
19232                 231.70
19264                 231.83
19296                 231.88
19328                 231.67
19360                 231.83
19392                 232.09
19424                 231.91
19456                 232.41
19488                 232.30
19520                 232.71
19552                 232.46
19584                 232.59
19616                 232.55
19648                 232.64
19680                 232.75
19712                 232.88
19744                 233.76
19776                 234.68
19808                 234.03
19840                 234.33
19872                 235.32
19904                 236.09
19936                 236.61
19968                 236.63
20000                 236.58
20032                 256.82
20064                 245.97
20096                 256.59
20128                 245.36
20160                 252.21
20192                 253.14
20224                 249.58
20256                 237.67
20288                 237.72
20320                 263.81
20352                 264.64
20384                 255.96
20416                 257.36
20448                 258.73
20480                 259.80
20512                 257.49
20544                 266.97
20576                 266.90
20608                 266.85
20640                 269.15
20672                 271.49
20704                 269.17
20736                 270.82
20768                 275.07
20800                 269.96
20832                 268.88
20864                 274.04
20896                 266.61
20928                 270.06
20960                 277.45
20992                 271.20
21024                 265.85
21056                 275.58
21088                 275.03
21120                 282.11
21152                 270.96
21184                 280.55
21216                 279.57
21248                 281.59
21280                 281.93
21312                 282.22
21344                 279.14
21376                 273.02
21408                 282.98
21440                 274.17
21472                 279.23
21504                 280.86
21536                 276.74
21568                 282.66
21600                 265.35
21632                 270.61
21664                 269.52
21696                 276.83
21728                 252.02
21760                 258.36
21792                 256.55
21824                 257.38
21856                 258.91
21888                 259.18
21920                 258.86
21952                 258.97
21984                 259.52
22016                 259.72
22048                 259.84
22080                 260.73
22112                 260.57
22144                 261.59
22176                 262.14
22208                 259.32
22240                 257.94
22272                 260.19
22304                 261.06
22336                 260.79
22368                 259.96
22400                 260.94
22432                 262.20
22464                 259.87
22496                 260.59
22528                 261.70
22560                 263.59
22592                 262.58
22624                 263.26
22656                 264.88
22688                 265.08
22720                 263.96
22752                 264.48
22784                 266.05
22816                 267.09
22848                 266.55
22880                 267.41
22912                 266.49
22944                 266.62
22976                 268.25
23008                 270.95
23040                 273.89
23072                 274.24
23104                 274.02
23136                 276.80
23168                 264.41
23200                 264.74
23232                 264.52
23264                 264.54
23296                 265.00
23328                 264.91
23360                 265.21
23392                 265.21
23424                 265.62
23456                 265.29
23488                 265.12
23520                 265.26
23552                 265.10
23584                 265.10
23616                 265.48
23648                 265.11
23680                 265.10
23712                 265.84
23744                 266.18
23776                 266.11
23808                 265.91
23840                 265.80
23872                 266.24
23904                 266.08
23936                 266.43
23968                 266.51
24000                 266.83
24032                 266.87
24064                 266.98
24096                 268.65
24128                 269.29
24160                 270.35
24192                 271.31
24224                 271.86
24256                 273.20
24288                 273.59
24320                 273.61
