
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1763.48
41000000            76227.22
81000000           179956.96
121000000          223840.38
161000000          305200.93
201000000          381593.46
241000000          455482.15
281000000          544840.47
321000000          681653.88
361000000          676084.89
401000000          747586.31
441000000          832149.35
481000000          930835.74
521000000          966797.01
561000000         1074928.97
601000000         1160344.89
641000000         1419348.01
681000000         1333825.13
721000000         1368084.81
761000000         1579546.85
801000000         1583751.14
841000000         1668122.02
881000000         1858786.33
921000000         1805014.46
961000000         1957204.12
1001000000        2053035.75
