
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   10.99
8000                   16.39
12000                  25.65
16000                  29.06
20000                  32.30
24000                  35.29
28000                  35.17
32000                  35.47
36000                  36.82
40000                  38.97
44000                  41.45
48000                  42.91
52000                  65.16
56000                  66.08
60000                  69.14
64000                  70.80
68000                  73.25
72000                  75.73
76000                 157.12
80000                 126.08
84000                  82.61
88000                  83.49
92000                  86.42
96000                  88.98
100000                 94.01
104000                 99.11
108000                 98.61
112000                102.35
116000                105.53
120000                103.52
124000                104.74
128000                121.87
132000                109.39
136000                110.78
140000                112.59
144000                115.58
148000                116.91
152000                116.88
156000                118.00
160000                118.48
164000                120.53
168000                121.59
172000                120.56
176000                127.24
180000                126.05
184000                128.68
188000                129.39
192000                130.40
196000                131.52
200000                133.85
204000                133.77
208000                137.04
212000                138.97
216000                156.02
220000                149.92
224000                142.56
228000                146.04
232000                147.00
236000                148.88
240000                151.68
244000                151.77
248000                154.98
252000                155.46
256000                307.35
260000                180.84
264000                162.87
268000                163.74
272000                170.03
276000                170.11
280000                177.85
284000                259.73
288000                355.93
292000                184.17
296000                180.26
300000                177.93
304000                178.25
308000                181.49
312000                407.76
316000                211.87
320000                187.26
324000                399.35
328000                239.80
332000                410.09
336000                412.81
340000                272.01
344000                223.09
348000                220.24
352000                219.38
356000                212.74
360000                215.37
364000                216.51
368000                253.01
372000                239.91
376000                222.72
380000                223.72
384000                224.91
388000                232.55
392000                238.35
396000                241.64
400000                330.80
404000                484.87
408000                276.30
412000                251.59
416000                253.54
420000                256.22
424000                258.61
428000                343.87
432000                390.00
436000                260.54
440000                359.94
444000                469.08
448000                275.91
452000                263.10
456000                263.94
460000                264.28
464000                269.38
468000                281.28
472000                300.38
476000                300.03
480000                315.97
484000                301.89
488000                299.73
492000                290.87
496000                288.69
500000                319.30
504000                294.28
508000                298.67
512000                298.82
516000                304.45
520000                306.09
524000                305.88
528000                304.54
532000                309.13
536000                310.05
540000                320.19
544000                318.82
548000                316.64
552000                320.38
556000                319.87
560000                321.30
564000                328.12
568000                324.93
572000                325.85
576000                330.12
580000                333.84
584000                429.13
588000                564.57
592000                367.56
596000                371.45
600000                389.10
604000                365.07
608000                360.31
612000                352.82
616000                354.51
620000                354.92
624000                355.83
628000                357.34
632000                359.74
636000                358.68
640000                360.30
644000                364.42
648000                368.86
652000                371.01
656000                377.32
660000                380.36
664000                377.81
668000                428.53
672000                387.99
676000                387.86
680000                387.31
684000                387.03
688000                393.46
692000                399.68
696000                433.02
700000                446.39
704000                423.41
708000                417.19
712000                411.80
716000                417.92
720000                432.47
724000                421.73
728000                420.18
732000                423.46
736000                424.87
740000                426.20
744000                424.40
748000                423.41
752000                426.69
756000                858.11
760000                448.31
764000                431.74
768000                430.58
772000                439.09
776000                439.38
780000                448.15
784000                489.75
788000                492.53
792000                476.69
796000                461.32
800000                455.86
804000                459.98
808000                457.80
812000                462.12
816000                463.73
820000                485.16
824000                464.69
828000                464.49
832000                470.45
836000                468.80
840000                465.52
844000                469.77
848000                476.39
852000                476.88
856000                492.10
860000                475.52
864000                490.93
868000                520.26
872000                578.31
876000                571.67
880000                529.91
884000                523.87
888000                528.59
892000                557.26
896000                555.97
900000                543.02
904000                529.05
908000                531.76
912000                537.59
916000                540.12
920000                539.57
924000                539.44
928000                539.51
932000                547.43
936000                548.07
940000                547.01
944000                551.32
948000                552.94
952000                553.73
956000                559.51
960000                582.07
964000                562.47
968000                559.63
972000                562.35
976000                605.18
980000                565.01
984000                568.95
988000                592.37
992000                578.95
996000                578.10
1000000               575.02
1004000               580.03
1008000               584.32
1012000               587.46
1016000               592.30
1020000               614.13
1024000               622.56
