
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   25.03
8000                   86.98
12000                  92.79
16000                 108.08
20000                 107.54
24000                 107.27
28000                 113.82
32000                 122.02
36000                 118.28
40000                 125.00
44000                 122.81
48000                 123.72
52000                 130.43
56000                 134.32
60000                 135.81
64000                 140.84
68000                 274.99
72000                 275.07
76000                 280.62
80000                 286.00
84000                 287.37
88000                 295.84
92000                 299.64
96000                 300.86
100000                309.30
104000                314.10
108000                315.50
112000                322.96
116000                329.29
120000                332.83
124000                340.38
128000                336.27
132000                347.47
136000                358.95
140000                358.76
144000                364.48
148000                370.13
152000                401.63
156000                407.01
160000                414.68
164000                427.30
168000                412.73
172000                410.93
176000                416.60
180000                420.22
184000                422.74
188000                433.14
192000                427.73
196000                441.59
200000                445.52
204000                452.38
208000                459.68
212000                561.21
216000                541.52
220000                544.81
224000                546.99
228000                539.08
232000                580.63
236000                551.07
240000                553.47
244000                565.01
248000                573.17
252000                577.09
256000                574.06
260000                587.68
264000                592.29
268000                637.25
272000                676.58
276000                551.26
280000                553.47
284000                555.26
288000                565.11
292000                561.51
296000                555.28
300000                573.02
304000                595.61
308000                599.89
312000                678.40
316000                639.87
320000                641.47
324000                646.40
328000                641.07
332000                637.28
336000                639.76
340000                647.87
344000                649.77
348000                654.44
352000                701.56
356000                778.21
360000                793.14
364000                786.76
368000                789.07
372000                745.12
376000                798.29
380000                735.28
384000                714.26
388000                716.14
392000                718.10
396000                719.75
400000                805.38
404000                827.71
408000                830.60
412000                814.58
416000                823.53
420000                763.65
424000                767.56
428000                783.52
432000                825.39
436000                826.74
440000                794.86
444000                798.37
448000                798.44
452000                805.40
456000                811.04
460000                817.42
464000                817.30
468000                826.96
472000                835.81
476000                848.32
480000                851.02
484000                847.79
488000                867.18
492000                864.49
496000                871.41
500000                882.68
504000                900.01
508000                907.48
512000                918.88
516000                911.87
520000                922.46
524000                917.21
528000                931.22
532000                917.83
536000                935.81
540000                939.59
544000                938.89
548000                945.45
552000                956.31
556000                962.64
560000                975.31
564000               1000.17
568000               1010.80
572000                984.99
576000                978.83
580000               1002.51
584000               1012.63
588000               1000.80
592000               1011.96
596000               1011.44
600000               1014.64
604000               1022.53
608000               1026.54
612000               1041.67
616000               1049.17
620000               1058.31
624000               1222.66
628000               1121.04
632000               1071.79
636000               1076.28
640000               1074.90
644000               1078.12
648000               1088.40
652000               1101.52
656000               1108.79
660000               1107.69
664000               1117.90
668000               1127.03
672000               1138.64
676000               1207.98
680000               1301.17
684000               1149.20
688000               1157.48
692000               1168.82
696000               1170.25
700000               1187.79
704000               1187.34
708000               1180.13
712000               1218.72
716000               1185.78
720000               1213.03
724000               1214.18
728000               1272.02
732000               1228.26
736000               1237.46
740000               1256.44
744000               1246.07
748000               1248.05
752000               1256.48
756000               1263.37
760000               1279.20
764000               1459.20
768000               1259.09
772000               1312.57
776000               1352.83
780000               1306.56
784000               1303.34
788000               1317.78
792000               1319.48
796000               1314.56
800000               1314.94
804000               1327.96
808000               1334.49
812000               1331.18
816000               1349.40
820000               1404.84
824000               1368.59
828000               1372.87
832000               1370.07
836000               1390.21
840000               1412.36
844000               1710.35
848000               1482.50
852000               1422.00
856000               1419.27
860000               1500.78
864000               1516.18
868000               1458.75
872000               1466.99
876000               1467.19
880000               1474.56
884000               1482.24
888000               1489.26
892000               1499.53
896000               1492.92
900000               1642.85
904000               1635.48
908000               1585.99
912000               1533.62
916000               1540.87
920000               1542.95
924000               1529.19
928000               1547.06
932000               1603.98
936000               1568.30
940000               1694.84
944000               1623.21
948000               1601.50
952000               1611.62
956000               1625.56
960000               1642.18
964000               1646.82
968000               1667.57
972000               1926.32
976000               1977.34
980000               1710.43
984000               1903.01
988000               1736.54
992000               1759.86
996000               1645.18
1000000              1653.93
1004000              1641.14
1008000              1923.23
1012000              1694.58
1016000              1720.99
1020000              1715.06
1024000              1705.23
