
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   12.79
8000                   27.64
12000                  28.14
16000                  31.76
20000                  39.88
24000                  37.15
28000                  40.45
32000                  43.52
36000                  86.59
40000                  89.29
44000                  93.11
48000                  95.30
52000                  99.09
56000                 100.59
60000                 104.44
64000                 107.18
68000                 119.64
72000                 111.96
76000                 124.88
80000                 119.00
84000                 119.37
88000                 119.71
92000                 125.06
96000                 126.99
100000                131.79
104000                138.97
108000                149.45
112000                138.60
116000                135.33
120000                135.24
124000                126.77
128000                126.45
132000                129.65
136000                131.96
140000                138.16
144000                137.58
148000                141.58
152000                145.68
156000                147.53
160000                145.31
164000                150.84
168000                159.55
172000                161.68
176000                161.84
180000                165.62
184000                166.55
188000                175.55
192000                169.86
196000                209.56
200000                178.68
204000                180.52
208000                183.47
212000                185.83
216000                186.86
220000                189.34
224000                192.04
228000                193.13
232000                393.73
236000                425.54
240000                427.61
244000                436.01
248000                440.12
252000                448.31
256000                445.45
260000                457.84
264000                363.25
268000                225.86
272000                228.53
276000                232.12
280000                232.75
284000                235.26
288000                239.28
292000                238.54
296000                244.33
300000                247.41
304000                365.77
308000                546.14
312000                552.18
316000                560.67
320000                557.15
324000                567.10
328000                587.73
332000                562.02
336000                565.38
340000                571.26
344000                568.03
348000                569.21
352000                569.01
356000                578.83
360000                579.60
364000                587.99
368000                610.32
372000                382.35
376000                313.32
380000                313.13
384000                318.04
388000                320.85
392000                314.65
396000                323.33
400000                326.07
404000                329.63
408000                333.97
412000                330.01
416000                333.90
420000                341.88
424000                342.52
428000                345.06
432000                346.97
436000                354.62
440000                355.12
444000                355.64
448000                374.08
452000                378.88
456000                378.94
460000                380.38
464000                377.65
468000                382.21
472000                383.86
476000                393.03
480000                396.41
484000                395.99
488000                401.35
492000                408.09
496000                405.78
500000                401.03
504000                405.71
508000                402.78
512000                414.01
516000                413.24
520000                415.57
524000                419.17
528000                420.09
532000                424.63
536000                425.39
540000                432.39
544000                430.91
548000                458.92
552000                446.74
556000                454.87
560000                455.16
564000                453.55
568000                461.51
572000                453.50
576000                457.97
580000                467.59
584000                828.80
588000                872.16
592000                530.71
596000                531.60
600000                541.04
604000                540.53
608000                541.77
612000                547.98
616000                870.76
620000                976.13
624000                956.38
628000                965.93
632000                941.03
636000                918.66
640000                933.51
644000                580.08
648000                570.50
652000                573.46
656000                547.95
660000                601.75
664000                598.99
668000                544.64
672000                535.89
676000                540.70
680000                543.06
684000                597.00
688000                574.37
692000                589.95
696000                559.71
700000                574.35
704000                564.12
708000                586.85
712000                606.91
716000                606.34
720000                566.91
724000                586.93
728000                697.88
732000                651.04
736000                658.21
740000                587.75
744000                587.14
748000                590.70
752000                601.95
756000                743.63
760000                747.46
764000                642.61
768000                623.27
772000                634.54
776000                651.22
780000                650.47
784000                637.13
788000                634.39
792000                633.92
796000                644.83
800000                644.31
804000                642.87
808000                711.82
812000                666.78
816000                661.69
820000                665.25
824000                668.47
828000                669.96
832000                668.20
836000                704.34
840000                688.06
844000                782.50
848000                705.01
852000                723.11
856000                718.93
860000                722.93
864000                737.39
868000                703.62
872000                704.19
876000                704.89
880000                721.26
884000                721.00
888000                724.79
892000                733.37
896000                733.44
900000                738.35
904000                741.41
908000                744.70
912000                754.28
916000                753.49
920000                751.47
924000                797.19
928000                786.79
932000                773.16
936000                780.17
940000                779.94
944000                784.78
948000                785.05
952000                788.70
956000                795.97
960000                797.44
964000                799.90
968000                807.13
972000                819.62
976000                812.13
980000                821.42
984000                823.71
988000                826.22
992000                825.79
996000                843.04
1000000               870.32
1004000               843.33
1008000               848.49
1012000               853.78
1016000               859.52
1020000               861.11
1024000               864.20
