
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1597.00
9000000             17437.84
17000000            32108.93
25000000            45283.55
33000000            60004.78
41000000            74666.20
49000000            87485.30
57000000           111670.56
65000000           128792.65
73000000           131407.58
81000000           146575.40
89000000           155339.33
97000000           179642.41
105000000          191344.69
113000000          187877.03
121000000          231787.63
129000000          224820.29
137000000          250157.05
145000000          245832.97
153000000          300137.55
161000000          282846.06
169000000          314570.45
177000000          328684.47
185000000          360863.91
193000000          388407.07
201000000          397710.54
209000000          420181.31
217000000          415394.44
225000000          409645.23
233000000          453890.89
241000000          464510.95
249000000          463000.59
257000000          469357.87
265000000          501404.78
273000000          514219.06
281000000          557560.64
289000000          569619.73
297000000          533854.68
305000000          558265.76
313000000          604826.24
321000000          595161.37
329000000          634301.85
337000000          655478.58
345000000          631765.46
353000000          677002.70
361000000          697427.84
369000000          676369.40
377000000          691876.97
385000000          729283.31
393000000          733984.74
401000000          773961.78
409000000          767673.43
417000000          793209.34
425000000          797869.74
433000000          798183.37
441000000          858606.39
449000000          877088.63
457000000          846301.32
465000000          860505.85
473000000          894176.71
481000000          940261.24
489000000         1000732.46
497000000         1002282.68
505000000         1007203.19
