# OSU MPI Latency Test v5.7
# Size          Latency (us)
4000                    4.38
5000                    5.13
6000                    5.52
7000                    7.50
8000                    5.54
9000                    5.95
10000                   6.24
11000                   6.57
12000                   6.58
13000                   8.28
14000                   8.37
15000                   8.69
16000                   8.79
17000                   8.73
18000                   8.91
19000                   9.10
20000                   9.28
21000                  10.18
22000                   9.83
23000                  10.72
24000                  10.23
25000                  11.11
26000                  11.03
27000                  11.16
28000                  10.90
29000                  11.05
30000                  11.05
31000                  11.15
32000                  11.20
33000                  11.42
34000                  11.42
35000                  11.67
36000                  11.59
37000                  11.25
38000                  11.37
39000                  11.56
40000                  11.97
41000                  12.04
42000                  12.42
43000                  11.92
44000                  12.62
45000                  31.67
46000                  11.69
47000                  11.82
48000                  11.90
49000                  11.96
50000                  12.21
51000                  12.25
52000                  12.60
53000                  13.70
54000                  13.72
55000                  13.82
56000                  13.94
57000                  14.05
58000                  14.01
59000                  14.14
60000                  14.22
61000                  14.26
62000                  14.53
63000                  14.83
64000                  14.96
65000                  15.02
66000                  15.30
67000                  15.46
68000                  15.61
69000                  15.65
70000                  15.97
71000                  35.01
72000                  15.15
73000                  15.17
74000                  15.38
75000                  15.75
76000                  15.71
77000                  15.71
78000                  16.83
79000                  17.22
80000                  17.53
81000                  17.14
82000                  17.72
83000                  17.95
84000                  17.92
85000                  17.98
86000                  18.39
87000                  18.49
88000                  18.72
89000                  18.78
90000                  19.02
91000                  19.22
92000                  19.68
93000                  37.05
94000                  18.16
95000                  18.31
96000                  18.66
97000                  18.94
98000                  19.99
99000                  20.81
100000                 20.82
101000                 20.93
102000                 20.98
103000                 21.24
104000                 21.50
105000                 21.59
106000                 21.82
107000                 21.73
108000                 22.20
109000                 22.31
110000                 22.64
111000                 22.40
112000                 33.86
113000                 28.52
114000                 20.59
115000                 20.83
116000                 21.51
117000                 23.31
118000                 23.76
119000                 23.70
120000                 23.84
121000                 23.96
122000                 24.08
123000                 23.79
124000                 23.82
125000                 24.57
126000                 24.79
127000                 24.97
128000                 25.23
129000                 41.83
130000                 24.09
131000                 24.46
132000                 24.73
133000                 24.59
134000                 25.96
135000                 26.34
136000                 26.35
137000                 26.01
138000                 26.32
139000                 26.33
140000                 27.02
141000                 27.13
142000                 27.12
143000                 27.21
144000                 26.24
145000                 43.62
146000                 25.43
147000                 25.50
148000                 25.83
149000                 27.63
150000                 27.64
151000                 27.61
152000                 27.91
153000                 27.82
154000                 27.91
155000                 28.71
156000                 28.94
157000                 28.94
158000                 37.96
159000                 34.56
160000                 26.02
161000                 26.09
162000                 28.24
163000                 28.74
