4	352.6568908691406
8	6.2893757820129395
16	2.5661439895629883
32	2.608128070831299
64	3.692608118057251
128	2.857151985168457
256	3.07478404045105
512	3.876768112182617
1024	2.539520025253296
2048	2.6275839805603027
4096	2.3168959617614746
8192	2.672096014022827
16384	4.045663833618164
32768	2.969599962234497
65536	3.686367988586426
131072	4.299680233001709
262144	6.866399765014648
524288	8.444864273071289
1048576	13.665184020996094
2097152	12.432767868041992
4194304	31.22764778137207
8388608	37.938175201416016
16777216	98.1923828125
33554432	142.9698486328125
67108864	257.8921203613281
134217728	489.82476806640625
268435456	1018.9885864257812
536870912	2010.0103759765625
